Unnamed: 0,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Predicted_Group
0,0,36,1,1.0,2,1,0.0,2,4,D
1,1,37,1,4.0,5,1,8.0,0,4,A
2,0,69,1,1.0,0,0,0.0,2,4,C
3,1,59,1,2.0,4,0,11.0,1,4,A
4,0,19,0,4.0,8,0,2.552586938083121,2,4,C
5,1,47,1,5.0,1,1,0.0,1,2,C
6,1,61,1,3.0,1,1,5.0,2,4,A
7,0,47,1,3.0,0,1,1.0,0,4,C
8,1,50,1,4.0,0,1,2.0,0,4,C
9,1,19,0,4.0,5,0,0.0,2,4,D
10,1,22,0,3.0,5,0,0.0,2,4,D
11,0,22,0,6.0,5,0,0.0,2,4,D
12,1,50,1,5.0,0,1,1.0,0,4,C
13,1,27,0,3.0,5,0,8.0,2,6,D
14,1,18,0,3.0,1,0,0.0,2,4,D
15,0,61,1,1.0,0,1,0.0,2,4,C
16,0,20,1,3.0,7,1,1.0,0,6,A
17,1,45,1,2.0,0,1,1.0,0,4,C
18,1,55,1,1.0,0,1,8.0,2,4,A
19,0,88,1,4.0,7,1,1.0,0,4,B
20,1,63,1,3.0,4,0,2.552586938083121,1,4,B
21,1,69,1,2.8253778838504378,7,0,2.552586938083121,1,4,A
22,1,42,0,4.0,0,1,0.0,2,6,A
23,1,79,1,2.0,4,0,2.552586938083121,1,4,A
24,0,35,1,3.0,5,1,9.0,1,4,A
25,1,27,1,4.0,4,0,5.0,1,4,D
26,1,52,1,2.0,2,1,2.552586938083121,2,4,A
27,0,29,0,4.0,5,1,0.0,2,2,B
28,0,79,1,2.0,7,0,1.0,1,4,D
29,1,87,1,2.0,7,1,2.552586938083121,1,4,A
30,1,89,1,2.0,7,0,1.0,2,4,A
31,1,63,1,3.0,0,1,9.0,0,4,C
32,1,31,0,2.0,0,0,1.0,2,4,A
33,1,72,1,6.0,0,1,1.0,0,5,C
34,0,41,1,2.0,1,1,9.0,0,4,C
35,0,61,0,1.0,0,1,11.0,2,4,B
36,1,62,1,2.0,0,1,0.0,2,4,B
37,1,56,1,2.0,0,1,1.0,0,4,C
38,1,60,1,5.0,0,1,2.0,0,4,C
39,1,68,1,2.0,0,1,0.0,1,4,C
40,1,19,0,8.0,5,0,2.552586938083121,2,4,D
41,1,57,1,3.0,4,1,8.0,1,4,C
42,1,19,0,5.0,5,0,5.0,2,0,D
43,0,51,1,6.0,0,1,3.0,0,4,C
44,0,86,1,2.0,0,0,1.0,1,4,C
45,0,74,1,2.0,7,0,1.0,1,4,D
46,1,23,0,2.0,3,0,6.0,2,4,D
47,1,47,1,2.0,0,1,0.0,0,4,C
48,0,19,0,6.0,5,0,7.0,2,4,D
49,1,50,1,4.0,0,0,0.0,1,4,B
50,1,80,1,2.0,7,1,2.552586938083121,1,4,B
51,1,78,1,1.0,7,0,2.552586938083121,2,0,A
52,0,48,0,1.0,1,1,0.0,2,4,A
53,1,70,1,2.0,1,1,1.0,0,4,C
54,1,50,1,5.0,4,1,3.0,1,4,B
55,0,83,1,2.0,7,1,0.0,1,4,C
56,1,35,0,1.0,3,1,0.0,2,4,A
57,0,36,0,2.0,0,1,0.0,2,1,C
58,0,35,0,1.0,0,1,1.0,2,4,B
59,1,35,1,2.0,0,1,0.0,0,4,C
60,1,18,0,3.0,5,0,3.0,2,0,D
61,0,73,1,2.0,0,1,1.0,0,4,C
62,1,62,1,3.0,0,0,1.0,1,4,B
63,0,46,1,2.0,0,1,1.0,0,4,C
64,1,43,1,4.0,3,1,0.0,2,2,A
65,0,32,0,1.0,3,1,7.0,2,4,A
66,1,39,0,1.0,0,1,0.0,2,4,A
67,0,89,1,2.0,7,1,0.0,1,4,C
