Unnamed: 0,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Groups
0,0,36,1,1.0,2,1,0.0,2,4,B
1,1,37,1,4.0,5,1,8.0,0,4,A
2,0,69,1,1.0,0,0,0.0,2,4,C
3,1,59,1,2.0,4,0,11.0,1,4,C
4,0,19,0,4.0,8,0,2.552586938083121,2,4,D
5,1,47,1,5.0,1,1,0.0,1,2,A
6,1,61,1,3.0,1,1,5.0,2,4,B
7,0,47,1,3.0,0,1,1.0,0,4,A
8,1,50,1,4.0,0,1,2.0,0,4,A
9,1,19,0,4.0,5,0,0.0,2,4,D
10,1,22,0,3.0,5,0,0.0,2,4,D
11,0,22,0,6.0,5,0,0.0,2,4,D
12,1,50,1,5.0,0,1,1.0,0,4,A
13,1,27,0,3.0,5,0,8.0,2,6,D
14,1,18,0,3.0,1,0,0.0,2,4,D
15,0,61,1,1.0,0,1,0.0,2,4,B
16,0,20,1,3.0,7,1,1.0,0,6,A
17,1,45,1,2.0,0,1,1.0,0,4,A
18,1,55,1,1.0,0,1,8.0,2,4,B
19,0,88,1,4.0,7,1,1.0,0,4,C
20,1,63,1,3.0,4,0,2.552586938083121,1,4,C
21,1,69,1,2.8253778838504378,7,0,2.552586938083121,1,4,C
22,1,42,0,4.0,0,1,0.0,2,6,B
23,1,79,1,2.0,4,0,2.552586938083121,1,4,C
24,0,35,1,3.0,5,1,9.0,1,4,B
25,1,27,1,4.0,4,0,5.0,1,4,D
26,1,52,1,2.0,2,1,2.552586938083121,2,4,B
27,0,29,0,4.0,5,1,0.0,2,2,D
28,0,79,1,2.0,7,0,1.0,1,4,C
29,1,87,1,2.0,7,1,2.552586938083121,1,4,C
30,1,89,1,2.0,7,0,1.0,2,4,C
31,1,63,1,3.0,0,1,9.0,0,4,A
32,1,31,0,2.0,0,0,1.0,2,4,D
33,1,72,1,6.0,0,1,1.0,0,5,A
34,0,41,1,2.0,1,1,9.0,0,4,A
35,0,61,0,1.0,0,1,11.0,2,4,B
36,1,62,1,2.0,0,1,0.0,2,4,B
37,1,56,1,2.0,0,1,1.0,0,4,A
38,1,60,1,5.0,0,1,2.0,0,4,A
39,1,68,1,2.0,0,1,0.0,1,4,A
40,1,19,0,8.0,5,0,2.552586938083121,2,4,D
41,1,57,1,3.0,4,1,8.0,1,4,A
42,1,19,0,5.0,5,0,5.0,2,0,D
43,0,51,1,6.0,0,1,3.0,0,4,A
44,0,86,1,2.0,0,0,1.0,1,4,C
45,0,74,1,2.0,7,0,1.0,1,4,C
46,1,23,0,2.0,3,0,6.0,2,4,D
47,1,47,1,2.0,0,1,0.0,0,4,A
48,0,19,0,6.0,5,0,7.0,2,4,D
49,1,50,1,4.0,0,0,0.0,1,4,A
50,1,80,1,2.0,7,1,2.552586938083121,1,4,C
51,1,78,1,1.0,7,0,2.552586938083121,2,0,C
52,0,48,0,1.0,1,1,0.0,2,4,B
53,1,70,1,2.0,1,1,1.0,0,4,A
54,1,50,1,5.0,4,1,3.0,1,4,A
55,0,83,1,2.0,7,1,0.0,1,4,C
56,1,35,0,1.0,3,1,0.0,2,4,B
57,0,36,0,2.0,0,1,0.0,2,1,B
58,0,35,0,1.0,0,1,1.0,2,4,B
59,1,35,1,2.0,0,1,0.0,0,4,A
60,1,18,0,3.0,5,0,3.0,2,0,D
61,0,73,1,2.0,0,1,1.0,0,4,A
62,1,62,1,3.0,0,0,1.0,1,4,A
63,0,46,1,2.0,0,1,1.0,0,4,A
64,1,43,1,4.0,3,1,0.0,2,2,A
65,0,32,0,1.0,3,1,7.0,2,4,B
66,1,39,0,1.0,0,1,0.0,2,4,B
67,0,89,1,2.0,7,1,0.0,1,4,C
68,0,18,0,3.0,5,0,0.0,2,2,D
69,0,57,1,2.0,0,1,0.0,1,6,A
70,0,18,0,4.0,3,0,0.0,2,4,D
71,0,71,1,2.0,0,1,1.0,1,4,A
72,0,69,1,2.0,0,1,0.0,0,4,A
73,0,42,0,4.0,5,1,0.0,2,4,D
74,0,36,0,2.0,0,1,0.0,2,4,B
75,0,80,1,2.0,7,1,1.0,1,4,C
76,1,69,1,1.0,3,0,2.552586938083121,2,4,C
77,0,67,1,3.0,0,1,0.0,0,4,A
78,0,47,1,4.0,1,1,1.0,0,4,A
79,0,49,1,2.0,0,1,0.0,0,4,A
80,0,32,1,4.0,2,0,9.0,2,4,D
81,0,65,1,4.0,7,1,1.0,0,4,C
82,0,78,1,2.0,7,0,0.0,1,4,C
