,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Group
0,Male,22,No,4.0,Healthcare,No,1.0,Low,Hydro,D
1,Female,38,Yes,3.0,Engineer,Yes,,Average,Hydro,A
2,Female,67,Yes,1.0,Engineer,Yes,1.0,Low,Solar,B
3,Male,67,Yes,2.0,Lawyer,Yes,0.0,High,Solar,B
4,Female,40,Yes,6.0,Entertainment,Yes,,High,Solar,A
5,Male,56,Yes,2.0,Artist,No,0.0,Average,Solar,C
6,Male,32,No,3.0,Healthcare,Yes,1.0,Low,Solar,C
7,Female,33,No,3.0,Healthcare,Yes,1.0,Low,Solar,D
8,Female,61,Yes,3.0,Engineer,Yes,0.0,Low,Not Interested,D
9,Female,55,Yes,4.0,Artist,Yes,1.0,Average,Solar,C
10,Female,26,No,3.0,Engineer,Yes,1.0,Low,Solar,A
11,Male,19,No,4.0,Healthcare,No,4.0,Low,Hydro,D
12,Female,19,No,,Executive,No,0.0,Low,Wind,D
13,Male,70,Yes,1.0,Lawyer,No,,Low,Solar,A
14,Female,58,Yes,1.0,Doctor,No,0.0,Low,Wind,B
15,Female,41,No,2.0,Healthcare,No,1.0,Low,Tidal,C
16,Female,32,No,5.0,Homemaker,No,9.0,Low,Wind,D
17,Male,31,No,6.0,Healthcare,No,1.0,Low,Solar,B
18,Male,58,Yes,4.0,Entertainment,Yes,1.0,Average,Solar,B
19,Female,79,Yes,1.0,Artist,Yes,0.0,High,Solar,C
20,Male,49,Yes,1.0,Homemaker,Yes,12.0,Low,Wind,A
21,Female,18,No,4.0,Healthcare,No,3.0,Low,Solar,D
22,Male,33,Yes,2.0,Artist,Yes,13.0,Low,Wind,A
23,Female,36,No,2.0,Artist,Yes,5.0,Low,Solar,B
24,Female,58,,3.0,Executive,No,1.0,Average,Wind,B
25,Male,56,Yes,3.0,Artist,No,1.0,Average,Solar,C
26,Male,31,No,8.0,Healthcare,No,9.0,Low,Hydro,A
27,Male,49,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
28,Male,35,No,1.0,Artist,Yes,0.0,Low,Solar,B
29,Female,35,No,4.0,Artist,No,5.0,Low,Solar,C
30,Female,45,Yes,3.0,Artist,Yes,0.0,Low,Solar,C
31,Female,42,Yes,2.0,Doctor,No,1.0,Low,Hydro,A
32,Male,19,No,3.0,Healthcare,No,1.0,Low,Biomass,D
33,Male,26,No,,Homemaker,No,9.0,Low,Solar,D
34,Female,83,Yes,2.0,Lawyer,No,1.0,High,Solar,D
35,Female,27,No,4.0,Healthcare,Yes,3.0,Low,Tidal,D
36,Male,32,No,1.0,Doctor,No,5.0,Low,Hydro,D
37,Female,28,Yes,5.0,Healthcare,No,1.0,Average,Wind,D
38,Female,28,Yes,2.0,Artist,Yes,8.0,Low,Solar,A
39,Male,56,Yes,2.0,Artist,Yes,,Average,Solar,C
40,Female,47,No,1.0,Artist,Yes,4.0,Low,Solar,B
41,Female,22,No,2.0,Healthcare,No,0.0,Low,Solar,D
42,Female,27,No,3.0,Artist,Yes,14.0,Low,Solar,A
43,Female,49,Yes,2.0,Artist,Yes,1.0,Low,,C
44,Male,40,Yes,1.0,Engineer,No,8.0,Low,Solar,A
45,Female,79,Yes,2.0,Lawyer,No,,High,Solar,A
46,Male,41,Yes,4.0,Artist,Yes,0.0,Average,Hydro,B
47,Female,29,No,1.0,Healthcare,Yes,,Low,Not Interested,A
48,Male,19,No,4.0,Healthcare,No,0.0,Low,Solar,D
49,Female,45,No,1.0,Engineer,Yes,1.0,Low,Solar,A
50,Female,61,Yes,2.0,Artist,No,1.0,Average,Biomass,B
51,Female,36,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
52,Male,40,Yes,1.0,Artist,Yes,1.0,Low,Wind,A
53,Female,57,Yes,2.0,Entertainment,Yes,0.0,Average,Solar,C
54,Male,76,Yes,1.0,Marketing,No,1.0,Low,Hydro,A
55,Male,32,Yes,2.0,Artist,Yes,14.0,Average,Solar,B
56,Male,25,No,4.0,Healthcare,Yes,9.0,Low,Solar,D
57,Male,32,No,2.0,Doctor,,8.0,Low,Solar,D
58,Female,45,Yes,3.0,Artist,Yes,1.0,Average,Wind,C
59,Male,72,Yes,,Lawyer,Yes,1.0,Low,Hydro,D
60,Male,48,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
61,Male,55,Yes,2.0,Artist,Yes,9.0,Average,Tidal,C
62,Male,74,Yes,3.0,Lawyer,Yes,0.0,High,Solar,D
63,Male,56,Yes,2.0,Lawyer,Yes,1.0,High,Solar,A
64,Male,59,Yes,2.0,Lawyer,Yes,7.0,High,Solar,A
65,Male,25,No,2.0,Entertainment,Yes,0.0,Low,Solar,A
66,Male,31,Yes,2.0,Doctor,Yes,0.0,Average,Solar,A
67,Male,27,No,4.0,Artist,No,8.0,Low,Solar,A
68,Male,57,Yes,4.0,Artist,Yes,0.0,Average,Solar,B
69,Female,39,Yes,2.0,Homemaker,Yes,,High,Solar,A
70,Male,27,Yes,2.0,Healthcare,Yes,8.0,Low,Solar,D
